Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;4;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;TOTAUX EQUIPE;;;;;27;51;0,53;16;26;0,62;11;25;0,44;26;30;0,87;21;28;6;12;29;12;6;91;6;18;24;23;14;9;1;0;21;23;0;106;0;TOTAUX EQUIPE
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Starter;N. Brochant;30;13;0,22;13,22;3;4;0,75;2;2;1,00;1;2;0,50;0;0;;;;;;;;;7;1;4;5;2;3;1;0;0;1;0;7;11;1;N. Brochant
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Starter;C. Franchelin;25;52;0,87;52,87;2;10;0,20;1;5;0,20;1;5;0,20;6;9;0,67;;;;;;;;11;1;5;6;4;4;1;0;1;4;6;12;7;2;C. Franchelin
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Starter;S. Chevaugeon;21;56;0,93;56,93;3;8;0,38;2;5;0,40;1;3;0,33;0;0;;;;;;;;;7;1;1;2;2;2;2;0;1;1;1;4;6;10;S. Chevaugeon
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Starter;E. Martinez;30;22;0,37;22,37;5;8;0,63;4;5;0,80;1;3;0,33;0;1;0,00;;;;;;;;11;1;4;5;0;0;0;0;0;1;1;-5;12;12;E. Martinez
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Starter;T. Clarke;19;54;0,9;54,9;5;7;0,71;5;6;0,83;0;1;0,00;2;3;0,67;;;;;;;;12;2;6;8;2;1;1;1;0;4;3;9;20;34;T. Clarke
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;O. Bankole;28;47;0,78;47,78;5;10;0,50;3;3;1,00;2;7;0,29;5;6;0,83;;;;;;;;17;0;2;2;1;1;0;0;0;3;4;-2;13;3;O. Bankole
24-25;8;Championat de France;Exterieur;Victoire;Charnay;Capitaine;Banc;A. Bouderra(C);14;8;0,13;8,13;1;6;0,17;1;3;0,33;0;3;0,00;2;2;1,00;;;;;;;;4;0;0;0;4;2;1;0;1;1;2;-9;2;4;A. Bouderra(C)
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;S. Sagerer;4;4;0,07;4,07;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;1;0;0;0;0;2;1;2;2;15;S. Sagerer
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;O. Chidom;24;24;0,4;24,4;1;4;0,25;1;3;0,33;0;1;0,00;2;2;1,00;;;;;;;;4;2;4;6;0;1;1;0;0;3;1;-3;7;22;O. Chidom
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;8;Championat de France;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;25;57;0,44;19;32;0,59;6;25;0,24;17;23;0,74;17;28;7;9;25;9;12;73;8;28;36;16;16;7;1;3;20;19;0;79;0;TOTAUX EQUIPE
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Starter;N. Brochant;31;18;0,3;18,3;5;8;0,63;4;5;0,80;1;3;0,33;1;2;0,50;;;;;;;;12;0;8;8;1;3;8;1;0;1;2;20;23;1;N. Brochant
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Starter;C. Franchelin;25;35;0,58;35,58;4;10;0,40;2;6;0,33;2;4;0,50;6;6;1,00;;;;;;;;16;0;2;2;8;4;2;0;0;1;5;15;18;2;C. Franchelin
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Starter;S. Chevaugeon;26;21;0,35;21,35;4;8;0,50;0;2;0,00;4;6;0,67;0;0;;;;;;;;;12;0;0;0;3;1;0;0;0;2;0;6;10;10;S. Chevaugeon
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Starter;E. Martinez;29;52;0,87;52,87;6;8;0,75;5;6;0,83;1;2;0,50;0;0;;;;;;;;;13;2;8;10;2;0;3;0;0;3;0;12;26;12;E. Martinez
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Starter;T. Clarke;29;46;0,77;46,77;2;5;0,40;2;5;0,40;0;0;;1;2;0,50;;;;;;;;5;1;0;1;4;1;0;1;1;1;3;3;6;34;T. Clarke
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;O. Bankole;22;21;0,35;21,35;5;9;0,56;4;5;0,80;1;4;0,25;3;3;1,00;;;;;;;;14;1;1;2;2;3;0;0;0;3;2;-6;11;3;O. Bankole
24-25;9;Championat de France;Domicile;Victoire;Landerneau;Capitaine;Banc;A. Bouderra(C);14;25;0,42;25,42;3;7;0,43;2;4;0,50;1;3;0,33;0;0;;;;;;;;;7;2;2;4;5;1;0;0;2;1;0;-5;11;4;A. Bouderra(C)
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;C. Sontia Zeutsop;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;16;C. Sontia Zeutsop
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;O. Chidom;20;22;0,37;22,37;2;4;0,50;2;3;0,67;0;1;0,00;2;2;1,00;;;;;;;;6;1;0;1;1;1;1;0;0;3;2;5;6;22;O. Chidom
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;9;Championat de France;Domicile;Victoire;Landerneau;;Banc;TOTAUX EQUIPE;;;;;31;59;0,53;21;36;0,58;10;23;0,43;13;15;0,87;30;38;10;13;27;19;9;85;7;21;28;26;16;14;2;3;15;14;0;109;0;TOTAUX EQUIPE
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Starter;N. Brochant;28;58;0,97;58,97;2;5;0,40;2;3;0,67;0;2;0,00;0;0;;;;;;;;;4;0;2;2;1;2;3;0;0;3;0;13;5;1;N. Brochant
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Starter;C. Franchelin;26;51;0,85;51,85;7;11;0,64;4;8;0,50;3;3;1,00;3;3;1,00;;;;;;;;20;0;0;0;3;1;3;0;0;2;4;11;21;2;C. Franchelin
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Starter;O. Bankole;32;35;0,58;35,58;9;18;0,50;9;15;0,60;0;3;0,00;1;1;1,00;;;;;;;;19;1;6;7;3;1;2;0;2;2;3;6;21;3;O. Bankole
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Starter;E. Martinez;33;22;0,37;22,37;2;5;0,40;0;0;;2;5;0,40;0;0;;;;;;;;;6;2;3;5;7;1;3;0;0;3;0;12;17;12;E. Martinez
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Starter;T. Clarke;28;3;0,05;3,05;9;11;0,82;9;11;0,82;0;0;;1;2;0,50;;;;;;;;19;0;1;1;2;1;2;2;0;3;3;12;22;34;T. Clarke
24-25;10;Championat de France;Exterieur;Victoire;Angers;Capitaine;Banc;A. Bouderra(C);13;18;0,3;18,3;2;4;0,50;2;2;1,00;0;2;0,00;0;0;;;;;;;;;4;0;1;1;2;4;1;0;0;1;1;-1;2;4;A. Bouderra(C)
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Banc;S. Chevaugeon;18;29;0,48;29,48;1;6;0,17;1;3;0,33;0;3;0,00;0;0;;;;;;;;;2;1;0;1;2;0;2;0;0;1;2;0;2;10;S. Chevaugeon
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Banc;S. Sagerer;3;7;0,12;7,12;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;-1;15;S. Sagerer
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Banc;O. Chidom;14;27;0,45;27,45;3;4;0,75;2;2;1,00;1;2;0,50;3;3;1,00;;;;;;;;10;0;2;2;1;2;0;0;0;2;2;-2;10;22;O. Chidom
24-25;10;Championat de France;Exterieur;Victoire;Angers;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;6;8;0;2;0;0;0;0;0;0;0;0;Team / Coach
