Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;13;Championat de France;Exterieur;Victoire;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;4;4;8;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;13;Championat de France;Exterieur;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;25;61;0,41;12;35;0,34;13;26;0,50;11;15;0,73;17;18;6;11;32;12;10;74;11;31;42;14;24;13;1;5;15;16;0;80;0;TOTAUX EQUIPE
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Starter;S. Elenga;19;36;0,6;36,6;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;1;3;4;0;3;0;0;0;1;0;3;1;6;S. Elenga
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Starter;S. Colley;21;9;0,15;9,15;1;4;0,25;0;3;0,00;1;1;1,00;3;3;1,00;;;;;;;;6;0;2;2;1;3;1;0;0;2;2;3;4;11;S. Colley
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Starter;K. Cooper;13;57;0,95;57,95;2;5;0,40;1;3;0,33;1;2;0,50;0;0;;;;;;;;;5;0;2;2;0;0;0;2;0;3;2;-4;6;12;K. Cooper
24-25;14;Championat de France;Domicile;Defaite;Landerneau;Capitaine;Starter;E. Marie(C);20;45;0,75;45,75;2;5;0,40;0;0;;2;5;0,40;0;0;;;;;;;;;6;0;0;0;6;7;0;0;0;2;2;-9;2;21;E. Marie(C)
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Starter;N. Enabosi;30;8;0,13;8,13;8;11;0,73;7;9;0,78;1;2;0,50;2;3;0,67;;;;;;;;19;0;7;7;1;4;4;0;0;2;3;-6;23;33;N. Enabosi
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Banc;S. Colas;22;28;0,47;28,47;3;7;0,43;3;7;0,43;0;0;;2;5;0,40;;;;;;;;8;2;2;4;7;0;0;0;0;2;3;-15;12;2;S. Colas
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Banc;C. Legrand;16;53;0,88;53,88;2;5;0,40;2;4;0,50;0;1;0,00;1;2;0,50;;;;;;;;5;1;4;5;1;2;1;1;0;2;1;-7;7;7;C. Legrand
24-25;14;Championat de France;Domicile;Defaite;Landerneau;;Banc;E. Mahoutou;16;12;0,2;12,2;1;2;0,50;1;2;0,50;0;0;;0;0;;;;;;;;;2;2;1;3;1;2;1;0;1;1;0;-2;4;26;E. Mahoutou
