Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Starter;J. Zodia;34;17;0,28;17,28;2;6;0,33;1;4;0,25;1;2;0,50;6;8;0,75;;;;;;;;11;1;5;6;2;1;0;0;1;4;4;-3;12;13;J. Zodia
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Starter;A. Sivka;19;22;0,37;22,37;1;5;0,20;1;2;0,50;0;3;0,00;0;0;;;;;;;;;2;0;2;2;2;2;0;0;0;1;1;-7;0;17;A. Sivka
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Starter;N. Fora;25;38;0,63;38,63;6;12;0,50;4;7;0,57;2;5;0,40;0;0;;;;;;;;;14;0;1;1;7;2;1;0;0;2;2;2;15;25;N. Fora
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;T. Cooper;14;22;0,37;22,37;4;10;0,40;3;8;0,38;1;2;0,50;4;4;1,00;;;;;;;;13;0;0;0;0;3;1;0;0;3;4;-11;5;2;T. Cooper
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;I. Strunc;15;53;0,88;53,88;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;4;4;0;0;0;1;0;0;0;1;3;8;I. Strunc
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;L. Monasse;5;8;0,13;8,13;1;2;0,50;1;1;1,00;0;1;0,00;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;1;0;-4;1;9;L. Monasse
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;M. Ewodo;9;3;0,05;3,05;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;0;0;-5;0;14;M. Ewodo
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;C. Dako;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;C. Dako
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;J. Celerier;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;27;J. Celerier
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;N. Miyem;19;7;0,12;7,12;3;3;1,00;3;3;1,00;0;0;;1;2;0,50;;;;;;;;7;2;3;5;2;0;0;2;0;0;2;-9;15;77;N. Miyem
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;4;7;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Banc;TOTAUX EQUIPE;;;;;23;59;0,39;19;41;0,46;4;18;0,22;11;16;0,69;19;28;4;5;22;6;5;61;7;25;32;19;11;3;4;2;17;18;0;67;0;TOTAUX EQUIPE
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;T. Cooper;24;40;0,67;40,67;0;7;0,00;0;6;0,00;0;1;0,00;2;2;1,00;;;;;;;;2;1;2;3;2;0;0;0;1;3;2;-16;0;2;T. Cooper
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;Capitaine;Starter;C. Droguet(C);23;20;0,33;20,33;4;9;0,44;4;8;0,50;0;1;0,00;0;0;;;;;;;;;8;0;1;1;7;3;1;0;0;2;2;-13;9;7;C. Droguet(C)
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;M. Musa;25;44;0,73;44,73;6;14;0,43;6;14;0,43;0;0;;3;7;0,43;;;;;;;;15;4;6;10;1;4;1;0;0;2;4;-16;11;11;M. Musa
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;A. Sivka;17;42;0,7;42,7;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;2;2;3;4;1;2;0;2;2;-11;2;17;A. Sivka
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Starter;N. Miyem;32;13;0,22;13,22;5;7;0,71;5;6;0,83;0;1;0,00;0;0;;;;;;;;;10;3;4;7;1;1;1;0;0;1;2;-16;16;77;N. Miyem
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;I. Strunc;24;39;0,65;39,65;4;9;0,44;2;4;0,50;2;5;0,40;1;2;0,50;;;;;;;;11;1;4;5;1;1;1;1;0;1;1;0;12;8;I. Strunc
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;L. Monasse;5;1;0,02;1,02;1;2;0,50;0;0;;1;2;0,50;0;0;;;;;;;;;3;0;0;0;0;1;0;0;0;0;0;-4;1;9;L. Monasse
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;M. Ewodo;22;3;0,05;3,05;3;6;0,50;2;3;0,67;1;3;0,33;0;1;0,00;;;;;;;;7;1;2;3;0;0;2;0;0;1;1;0;8;14;M. Ewodo
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;J. Celerier;23;48;0,8;48,8;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;1;1;4;3;2;0;0;2;2;-4;2;27;J. Celerier
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;2;4;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;17;Championat de France;Exterieur;Defaite;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;23;58;0,40;19;41;0,46;4;17;0,24;6;12;0,50;19;28;8;2;21;;5;56;12;24;36;19;18;9;3;1;14;16;0;64;0;TOTAUX EQUIPE
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;T. Cooper;21;11;0,18;11,18;2;6;0,33;1;4;0,25;1;2;0,50;0;0;;;;;;;;;5;0;3;3;2;0;0;0;0;3;0;-8;6;2;T. Cooper
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;Capitaine;Starter;C. Droguet(C);31;23;0,38;23,38;3;7;0,43;2;3;0,67;1;4;0,25;0;1;0,00;;;;;;;;7;2;6;8;7;5;2;0;0;5;2;12;14;7;C. Droguet(C)
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;M. Musa;33;24;0,4;24,4;11;15;0,73;11;15;0,73;0;0;;3;3;1,00;;;;;;;;25;2;7;9;0;3;1;1;0;3;2;-2;29;11;M. Musa
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Sivka;34;43;0,72;43,72;1;7;0,14;0;1;0,00;1;6;0,17;2;2;1,00;;;;;;;;5;0;5;5;4;4;0;0;0;1;4;-5;4;17;A. Sivka
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;N. Miyem;30;6;0,1;6,1;3;8;0,38;3;7;0,43;0;1;0,00;2;2;1,00;;;;;;;;8;3;1;4;3;0;0;0;0;0;2;-18;10;77;N. Miyem
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;I. Strunc;24;23;0,38;23,38;2;8;0,25;1;2;0,50;1;6;0,17;0;0;;;;;;;;;5;0;1;1;0;1;0;0;0;2;0;-10;-1;8;I. Strunc
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;L. Monasse;4;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-12;0;9;L. Monasse
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;E. Poulain;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;E. Poulain
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;M. Ewodo;16;30;0,5;30,5;1;5;0,20;0;1;0,00;1;4;0,25;0;0;;;;;;;;;3;1;1;2;0;1;2;0;0;0;0;2;2;14;M. Ewodo
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;J. Celerier;3;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;1;0;-4;-1;27;J. Celerier
24-25;18;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;3;5;0;2;0;0;0;0;0;0;0;0;Team / Coach
