Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;A. Brun;2;54;0,9;2,9;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-5;0;4;A. Brun;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;G. Rabot;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;26;G. Rabot;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;M. Toure;20;36;0,6;20,6;4;8;0,5;3;5;0,6;1;3;0,333333333;2;2;1;;;;;;;;11;0;2;2;1;1;2;0;1;4;1;-4;11;28;M. Toure;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;K. Linskens;19;12;0,2;19,2;4;6;0,666666667;3;4;0,75;1;2;0,5;0;0;;;;;;;;;9;0;3;3;3;4;2;1;0;4;1;-10;12;31;K. Linskens;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;;;;;22;54;0,407407407;17;36;0,472222222;5;18;0,277777778;15;17;0,882352941;17;26;2;14;20;;8;64;5;26;31;15;15;7;2;2;21;16;0;70;;TOTAUX EQUIPE;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Starter;E. Naigre;17;52;0,87;17,87;1;4;0,25;1;3;0,333333333;0;1;0;0;0;;;;;;;;;2;0;4;4;1;3;1;0;1;4;1;-1;2;13;E. Naigre;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Starter;M. Badiane;27;2;0,03;27,03;6;10;0,6;5;9;0,555555556;1;1;1;1;1;1;;;;;;;;14;2;8;10;3;4;2;0;1;2;1;4;21;25;M. Badiane;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Starter;G. Rabot;27;1;0,02;27,02;0;4;0;0;4;0;0;0;;0;0;;;;;;;;;0;2;9;11;3;3;0;0;0;2;0;12;7;26;G. Rabot;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Starter;M. Toure;34;8;0,13;34,13;4;15;0,266666667;1;6;0,166666667;3;9;0,333333333;2;2;1;;;;;;;;13;0;3;3;0;3;1;1;0;2;4;18;4;28;M. Toure;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;Capitaine;Starter;R. Bernies;26;52;0,87;26,87;3;3;1;2;2;1;1;1;1;0;0;;;;;;;;;7;1;2;3;3;10;1;1;0;2;2;18;5;47;R. Bernies(C);;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;M. Traore;0;32;0,53;0,53;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;3;0;1;M. Traore;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;E. Zemoura;1;37;0,62;1,62;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;1;0;0;1;0;3;2;2;E. Zemoura;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;A. Alston;25;60;1;26;4;10;0,4;3;5;0,6;1;5;0,2;5;6;0,833333333;;;;;;;;14;2;0;2;5;1;0;0;1;2;7;7;13;4;A. Alston;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;S. Caetano;3;54;0,9;3,9;0;2;0;0;0;;0;2;0;1;2;0,5;;;;;;;;1;0;1;1;0;0;0;0;0;1;1;-6;-1;8;S. Caetano;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;A. Jenkins;15;58;0,97;15,97;3;9;0,333333333;3;9;0,333333333;0;0;;3;7;0,428571429;;;;;;;;9;4;6;10;0;2;1;1;2;0;4;20;9;24;A. Jenkins;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;K. Linskens;19;4;0,07;19,07;2;4;0,5;2;4;0,5;0;0;;4;5;0,8;;;;;;;;8;2;3;5;1;2;0;1;0;3;3;17;10;31;K. Linskens;;;
23-24;1;Championat de France;Domicile;Victoire;Landerneau;;Banc;TOTAUX EQUIPE;;;;;23;61;0,37704918;17;42;0,404761905;6;19;0,315789474;16;23;0,695652174;20;32;12;7;32;28;10;68;17;40;57;16;29;7;4;5;19;23;0;78;;TOTAUX EQUIPE;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Jenkins;30;23;0,38;30,38;5;8;0,625;3;6;0,5;2;2;1;3;3;1;;;;;;;;15;3;8;11;4;1;2;0;1;1;4;-20;28;24;A. Jenkins;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;M. Badiane;25;9;0,15;25,15;3;7;0,428571429;2;5;0,4;1;2;0,5;2;3;0,666666667;;;;;;;;9;1;6;7;0;6;2;0;0;1;2;-19;7;25;M. Badiane;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;G. Rabot;18;8;0,13;18,13;1;2;0,5;1;1;1;0;1;0;0;0;;;;;;;;;2;1;0;1;0;3;2;0;0;3;0;-6;1;26;G. Rabot;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;M. Toure;31;17;0,28;31,28;1;10;0,1;1;5;0,2;0;5;0;0;0;;;;;;;;;2;1;1;2;0;3;3;0;0;2;0;-27;-5;28;M. Toure;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;Capitaine;Starter;R. Bernies;34;43;0,72;34,72;2;9;0,222222222;2;6;0,333333333;0;3;0;0;0;;;;;;;;;4;0;1;1;3;3;0;0;0;1;4;-25;-2;47;R. Bernies(C);;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;E. Zemoura;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;E. Naigre;15;5;0,08;15,08;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;3;3;1;0;3;0;0;3;1;-17;7;13;E. Naigre;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;A. Alston;30;25;0,42;30,42;6;12;0,5;4;7;0,571428571;2;5;0,4;5;6;0,833333333;;;;;;;;19;0;0;0;3;5;0;0;0;1;2;-5;10;22;A. Alston;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;K. Linskens;14;51;0,85;14,85;3;5;0,6;3;4;0,75;0;1;0;0;0;;;;;;;;;6;1;2;3;0;0;1;1;0;5;1;-6;9;31;K. Linskens;;;
23-24;2;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;21;53;0,396226415;16;34;0,470588235;5;19;0,263157895;10;12;0,833333333;18;20;11;8;25;2;7;57;9;22;31;11;25;13;1;1;17;14;0;54;;TOTAUX EQUIPE;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Starter;A. Alston;31;51;0,85;31,85;3;7;0,428571429;0;1;0;3;6;0,5;0;0;;;;;;;;;9;0;5;5;7;3;2;1;0;1;3;15;17;22;A. Alston;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Starter;A. Jenkins;29;8;0,13;29,13;5;7;0,714285714;3;5;0,6;2;2;1;6;7;0,857142857;;;;;;;;18;1;7;8;2;2;2;0;0;3;5;7;25;24;A. Jenkins;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Starter;M. Badiane;25;50;0,83;25,83;7;10;0,7;7;8;0,875;0;2;0;2;2;1;;;;;;;;16;1;2;3;3;3;1;3;0;3;4;18;20;25;M. Badiane;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Starter;M. Toure;31;58;0,97;31,97;4;9;0,444444444;2;6;0,333333333;2;3;0,666666667;0;0;;;;;;;;;10;2;2;4;5;3;1;0;1;4;1;5;12;28;M. Toure;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;Capitaine;Starter;R. Bernies;34;46;0,77;34,77;5;8;0,625;4;6;0,666666667;1;2;0,5;2;2;1;;;;;;;;13;0;0;0;5;6;3;0;0;2;5;14;12;47;R. Bernies(C);;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;E. Zemoura;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;S. Caetano;5;22;0,37;5,37;0;2;0;0;0;;0;2;0;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;0;-1;8;S. Caetano;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;E. Naigre;18;18;0,3;18,3;3;6;0,5;1;2;0,5;2;4;0,5;0;0;;;;;;;;;8;0;2;2;2;1;0;0;0;3;0;-3;8;13;E. Naigre;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;G. Rabot;11;26;0,43;11,43;0;1;0;0;1;0;0;0;;2;2;1;;;;;;;;2;1;3;4;1;2;0;0;1;0;1;-3;4;26;G. Rabot;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;K. Linskens;11;20;0,33;11,33;3;5;0,6;2;2;1;1;3;0,333333333;0;1;0;;;;;;;;7;0;2;2;0;3;0;0;0;3;1;-3;3;31;K. Linskens;;;
23-24;3;Championat de France;Domicile;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;30;55;0,545454545;19;31;0,612903226;11;24;0,458333333;12;14;0,857142857;19;34;5;13;17;14;11;83;7;25;32;25;23;9;4;2;19;20;0;103;;TOTAUX EQUIPE;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;A. Jenkins;21;7;0,12;21,12;4;6;0,666666667;2;4;0,5;2;2;1;3;3;1;;;;;;;;13;0;4;4;0;4;0;1;0;3;2;13;12;24;A. Jenkins;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;G. Rabot;28;13;0,22;28,22;2;2;1;1;1;1;1;1;1;0;0;;;;;;;;;5;2;6;8;2;0;1;0;0;1;1;9;16;26;G. Rabot;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;M. Toure;29;46;0,77;29,77;4;9;0,444444444;3;5;0,6;1;4;0,25;2;2;1;;;;;;;;11;0;0;0;9;3;1;0;0;1;3;21;13;28;M. Toure;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Starter;K. Linskens;23;54;0,9;23,9;2;5;0,4;2;3;0,666666667;0;2;0;3;4;0,75;;;;;;;;7;0;5;5;2;1;2;3;0;4;4;13;14;31;K. Linskens;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;Capitaine;Starter;R. Bernies;34;4;0,07;34,07;2;4;0,5;2;3;0,666666667;0;1;0;0;0;;;;;;;;;4;0;3;3;6;2;0;0;0;2;2;27;9;47;R. Bernies(C);;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;E. Zemoura;1;8;0,13;1,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;3;0;2;E. Zemoura;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;S. Caetano;2;28;0,47;2,47;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;2;0;5;1;8;S. Caetano;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;E. Naigre;16;13;0,22;16,22;3;7;0,428571429;1;3;0,333333333;2;4;0,5;0;0;;;;;;;;;8;0;4;4;1;2;1;0;0;1;1;9;8;13;E. Naigre;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;A. Alston;15;51;0,85;15,85;2;7;0,285714286;0;2;0;2;5;0,4;0;0;;;;;;;;;6;1;0;1;1;5;2;0;0;1;2;2;0;22;A. Alston;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;M. Badiane;27;16;0,27;27,27;6;10;0,6;4;8;0,5;2;2;1;2;2;1;;;;;;;;16;0;7;7;0;1;2;2;1;1;2;28;22;25;M. Badiane;;;
23-24;4;Championat de France;Exterieur;Victoire;Saint-Amand;;Banc;TOTAUX EQUIPE;;;;;25;50;0,5;15;29;0,517241379;10;21;0,476190476;10;11;0,909090909;18;22;4;7;30;29;15;70;6;32;38;21;20;9;6;1;17;17;0;98;;TOTAUX EQUIPE;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;E. Naigre;22;35;0,58;22,58;2;11;0,181818182;1;4;0,25;1;7;0,142857143;0;0;;;;;;;;;5;1;6;7;2;1;1;0;0;2;1;8;5;13;E. Naigre;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;A. Jenkins;33;25;0,42;33,42;2;6;0,333333333;2;5;0,4;0;1;0;6;7;0,857142857;;;;;;;;10;1;3;4;1;1;4;0;0;2;5;11;13;24;A. Jenkins;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;M. Badiane;4;55;0,92;4,92;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;0;1;1;1;0;0;0;0;1;0;0;3;25;M. Badiane;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Starter;M. Toure;31;3;0,05;31,05;7;7;1;6;6;1;1;1;1;1;1;1;;;;;;;;16;0;5;5;0;1;3;0;0;1;1;12;23;28;M. Toure;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;Capitaine;Starter;R. Bernies;34;56;0,93;34,93;4;8;0,5;4;6;0,666666667;0;2;0;3;3;1;;;;;;;;11;1;2;3;6;2;0;0;0;3;2;-3;14;47;R. Bernies(C);;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;E. Zemoura;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;A. Alston;32;30;0,5;32,5;3;5;0,6;3;4;0,75;0;1;0;0;0;;;;;;;;;6;0;1;1;2;2;2;0;0;1;3;4;7;22;A. Alston;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;G. Rabot;9;29;0,48;9,48;1;3;0,333333333;1;2;0,5;0;1;0;0;0;;;;;;;;;2;0;1;1;2;0;1;0;0;2;0;-4;4;26;G. Rabot;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;K. Linskens;31;7;0,12;31,12;6;13;0,461538462;5;10;0,5;1;3;0,333333333;0;0;;;;;;;;;13;1;7;8;1;3;0;0;0;0;0;7;12;31;K. Linskens;;;
23-24;5;Championat de France;Domicile;Victoire;Lyon Asvel Féminin;;Banc;TOTAUX EQUIPE;;;;;26;55;0,472727273;23;39;0,58974359;3;16;0,1875;10;11;0,909090909;13;30;7;13;21;8;10;65;5;28;33;15;10;11;0;0;12;12;0;84;;TOTAUX EQUIPE;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;A. Jenkins;28;12;0,2;28,2;4;11;0,363636364;4;10;0,4;0;1;0;2;3;0,666666667;;;;;;;;10;2;4;6;4;5;2;0;3;5;3;-14;9;24;A. Jenkins;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;G. Rabot;20;12;0,2;20,2;4;4;1;4;4;1;0;0;;0;0;;;;;;;;;8;4;1;5;2;0;2;0;0;2;1;-7;17;26;G. Rabot;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;M. Toure;34;23;0,38;34,38;5;13;0,384615385;5;7;0,714285714;0;6;0;1;2;0,5;;;;;;;;11;0;6;6;4;4;0;1;1;2;2;-12;9;28;M. Toure;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;K. Linskens;30;58;0,97;30,97;5;11;0,454545455;5;10;0,5;0;1;0;1;2;0,5;;;;;;;;11;2;4;6;3;2;2;1;0;4;1;-8;14;31;K. Linskens;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;Capitaine;Starter;R. Bernies;31;0;0;31;3;5;0,6;1;1;1;2;4;0,5;3;3;1;;;;;;;;11;1;2;3;2;3;1;0;0;1;2;-13;12;47;R. Bernies(C);;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;E. Zemoura;0;8;0,13;0,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;S. Caetano;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;8;S. Caetano;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;E. Naigre;23;55;0,92;23,92;1;7;0,142857143;1;2;0,5;0;5;0;2;2;1;;;;;;;;4;1;3;4;0;3;2;0;0;1;2;-7;1;13;E. Naigre;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;A. Alston;31;12;0,2;31,2;7;13;0,538461538;6;8;0,75;1;5;0,2;0;0;;;;;;;;;15;1;1;2;2;1;2;0;0;1;3;-14;14;22;A. Alston;;;
23-24;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;29;64;0,453125;26;42;0,619047619;3;22;0,136363636;9;12;0,75;13;44;16;11;19;2;6;70;14;22;36;17;19;11;2;4;16;14;0;79;;TOTAUX EQUIPE;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Starter;A. Alston;25;17;0,28;25,28;4;6;0,666666667;2;3;0,666666667;2;3;0,666666667;4;5;0,8;;;;;;;;14;2;2;4;4;4;0;0;2;2;7;10;15;22;A. Alston;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Starter;A. Jenkins;33;22;0,37;33,37;5;9;0,555555556;4;8;0,5;1;1;1;11;13;0,846153846;;;;;;;;22;2;7;9;3;2;1;0;0;2;7;12;27;24;A. Jenkins;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Starter;M. Toure;34;28;0,47;34,47;6;10;0,6;5;7;0,714285714;1;3;0,333333333;1;2;0,5;;;;;;;;14;0;2;2;5;4;6;1;0;3;1;10;19;28;M. Toure;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Starter;K. Linskens;26;14;0,23;26,23;7;12;0,583333333;6;9;0,666666667;1;3;0,333333333;4;4;1;;;;;;;;19;1;4;5;4;2;1;0;0;2;3;0;22;31;K. Linskens;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;Capitaine;Starter;R. Bernies;35;58;0,97;35,97;5;7;0,714285714;3;3;1;2;4;0,5;1;1;1;;;;;;;;13;0;2;2;5;6;0;0;0;3;2;12;12;47;R. Bernies(C);;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Banc;E. Zemoura;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Banc;K. Bell;9;19;0,32;9,32;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;1;0;0;2;0;-2;-1;3;K. Bell;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Banc;E. Naigre;16;24;0,4;16,4;1;4;0,25;1;2;0,5;0;2;0;0;0;;;;;;;;;2;0;0;0;1;0;0;0;0;2;0;13;0;13;E. Naigre;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Banc;G. Rabot;18;58;0,97;18,97;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;1;1;2;0;0;1;0;0;2;0;15;5;26;G. Rabot;;;
23-24;7;Championat de France;Exterieur;Victoire;Angers;;Banc;TOTAUX EQUIPE;;;;;29;51;0,568627451;22;35;0,628571429;7;16;0,4375;21;25;0,84;18;42;6;15;4;18;11;86;6;22;28;22;19;10;1;2;18;20;0;102;;TOTAUX EQUIPE;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;A. Jenkins;27;7;0,12;27,12;8;9;0,888888889;7;8;0,875;1;1;1;4;4;1;;;;;;;;21;2;3;5;0;2;3;0;0;1;5;20;26;24;A. Jenkins;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;G. Rabot;11;41;0,68;11,68;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;1;2;3;4;2;0;0;0;1;0;13;7;26;G. Rabot;;;
23-24;8;Championat de France;Domicile;Victoire;Charleville-Mézières;;Starter;M. Toure;36;37;0,62;36,62;6;13;0,461538462;4;9;0,444444444;2;4;0,5;0;0;;;;;;;;;14;0;2;2;7;6;1;0;0;2;0;17;11;28;M. Toure;;;
