Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;F. Bamba;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;19;F. Bamba
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;D. Dibanzilua;8;6;0,1;6,1;0;3;0,00;0;2;0,00;0;1;0,00;4;4;1,00;;;;;;;;4;0;0;0;2;1;0;0;0;0;2;-3;2;88;D. Dibanzilua
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;6;1;7;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;;;;;24;66;0,36;20;47;0,43;4;19;0,21;10;14;0,71;22;30;15;11;21;2;9;62;13;17;30;13;14;12;3;3;17;15;0;60;0;TOTAUX EQUIPE
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;Capitaine;Starter;P. Lezin(C);15;31;0,52;31,52;0;2;0,00;0;2;0,00;0;0;;0;0;;;;;;;;;0;1;1;2;0;1;2;0;1;2;0;-9;1;9;P. Lezin(C)
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;N. Woolfolk;31;47;0,78;47,78;3;11;0,27;2;6;0,33;1;5;0,20;0;0;;;;;;;;;7;1;4;5;1;2;4;0;0;4;2;-11;7;13;N. Woolfolk
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;A. Baker;14;41;0,68;41,68;4;7;0,57;4;7;0,57;0;0;;2;2;1,00;;;;;;;;10;0;4;4;1;5;0;0;0;3;3;-12;7;15;A. Baker
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;E. Akhator;32;27;0,45;27,45;2;7;0,29;2;7;0,29;0;0;;3;4;0,75;;;;;;;;7;5;7;12;1;1;2;0;0;1;4;-16;15;23;E. Akhator
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;A. Trasi;30;37;0,62;37,62;3;8;0,38;1;3;0,33;2;5;0,40;1;1;1,00;;;;;;;;9;0;1;1;2;2;1;1;0;3;1;-9;7;32;A. Trasi
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;M. Stervinou;24;46;0,77;46,77;3;12;0,25;1;7;0,14;2;5;0,40;4;4;1,00;;;;;;;;12;0;4;4;1;4;1;0;2;4;2;-13;5;10;M. Stervinou
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;L. Evrard;14;42;0,7;42,7;2;4;0,50;2;2;1,00;0;2;0,00;0;0;;;;;;;;;4;0;0;0;2;2;0;0;0;2;1;2;2;11;L. Evrard
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;A. Kane;17;7;0,12;7,12;2;7;0,29;2;7;0,29;0;0;;0;0;;;;;;;;;4;1;2;3;1;0;0;0;0;0;2;-7;3;17;A. Kane
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;D. Dibanzilua;18;23;0,38;23,38;4;6;0,67;3;5;0,60;1;1;1,00;0;0;;;;;;;;;9;2;2;4;0;3;0;0;1;1;1;0;8;88;D. Dibanzilua
24-25;6;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;3;4;7;0;1;0;0;0;0;0;0;0;0;Team / Coach
