Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;A. Spanou;17;8;0,13;17,13;1;8;0,125;0;6;0;1;2;0,5;3;4;0,75;;;;;;;;6;3;2;5;2;1;1;1;2;3;4;13;6;25;A. Spanou
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;K. Mann;13;10;0,17;13,17;0;0;;0;0;;0;0;;1;2;0,5;;;;;;;;1;0;3;3;2;0;0;0;0;2;2;7;5;44;K. Mann
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;34;82;0,414634146;23;56;0,410714286;11;26;0,423076923;19;24;0,791666667;24;32;21;13;22;17;10;98;24;27;51;19;12;12;4;5;24;21;0;119;;TOTAUX EQUIPE
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Starter;A. Okonkwo;34;30;0,5;30,5;7;19;0,37;6;15;0,40;1;4;0,25;3;3;1,00;;;;;;;;18;2;4;6;1;0;3;0;1;0;3;7;16;0;A. Okonkwo
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Starter;P. Astier;29;47;0,78;47,78;5;9;0,56;4;8;0,50;1;1;1,00;3;3;1,00;;;;;;;;14;1;2;3;9;6;0;0;0;3;2;6;16;18;P. Astier
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Starter;K. Diaby;31;5;0,08;5,08;10;13;0,77;10;13;0,77;0;0;;5;5;1,00;;;;;;;;25;4;6;10;0;0;3;0;0;1;7;5;35;22;K. Diaby
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;Capitaine;Starter;A. Spanou(C);25;20;0,33;20,33;1;3;0,33;1;3;0,33;0;0;;0;0;;;;;;;;;2;1;2;3;1;1;2;0;0;1;0;3;5;25;A. Spanou(C)
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Starter;A. Duchet;26;31;0,52;31,52;3;10;0,30;1;3;0,33;2;7;0,29;0;0;;;;;;;;;8;2;0;2;3;4;0;0;1;2;0;6;2;39;A. Duchet
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;M. Green;21;46;0,77;46,77;2;11;0,18;2;7;0,29;0;4;0,00;1;2;0,50;;;;;;;;5;0;1;1;3;2;0;0;0;4;2;-10;-3;7;M. Green
24-25;1/4 finale Aller;Playoff;Exterieur;Victoire;Tarbes;;Banc;A. Filip;6;0;0;0;0;1;0,00;0;1;0,00;0;0;;1;2;0,50;;;;;;;;1;2;2;4;0;0;0;0;0;0;1;-4;3;11;A. Filip
